block,RT,image,position,response,order,environment,condition,location,binary,label
16,341,firealarm05,21,-1,4,firealarm,a,indoor,0,firealarm
17,247,firealarm10,16,-1,4,firealarm,a,indoor,0,firealarm
18,466,firealarm23,3,1,4,firealarm,a,indoor,1,firealarm
19,240,firealarm06,20,-1,4,firealarm,a,indoor,0,firealarm
20,356,firealarm13,13,-1,4,firealarm,a,indoor,0,firealarm
21,515,candle22,4,1,4,candle,a,indoor,1,candle
22,1140,candle24,2,-1,4,candle,a,indoor,0,candle
23,555,candle02,24,-1,4,candle,a,indoor,0,candle
24,2707,candle20,6,1,4,candle,a,indoor,1,candle
25,1516,candle18,8,1,4,candle,a,indoor,1,candle
26,1149,vase09,17,-1,4,vase,a,indoor,0,vase
27,1084,vase15,11,1,4,vase,a,indoor,1,vase
28,1108,vase12,14,1,4,vase,a,indoor,1,vase
29,391,vase16,10,1,4,vase,a,indoor,1,vase
30,1209,vase01,25,-1,4,vase,a,indoor,0,vase
31,266,kettle04,22,-1,4,kettle,a,indoor,0,kettle
32,790,kettle13,13,1,4,kettle,a,indoor,1,kettle
33,2602,kettle05,21,1,4,kettle,a,indoor,1,kettle
35,416,kettle22,4,-1,4,kettle,a,indoor,0,kettle
36,2082,dvdplayer01,25,-1,4,dvdplayer,a,indoor,0,dvdplayer
37,228,dvdplayer03,23,-1,4,dvdplayer,a,indoor,0,dvdplayer
38,223,dvdplayer14,12,-1,4,dvdplayer,a,indoor,0,dvdplayer
39,258,dvdplayer17,9,-1,4,dvdplayer,a,indoor,0,dvdplayer
