image,environment,condition,label,block,RT,position,response,order,binary,preferred,distance_from_optimal,pixels,log_pixels,group,scene
mouse06,mouse,b,keyboard,45.0,647.8666666666667,20.0,-0.6444444444444445,1.0,0.17777777777777778,3.0899999999999994,16.91,566.0,6.338594078203183,big,mouse
mouse06,mouse,c,mouse,45.0,597.5714285714286,20.0,0.19047619047619047,3.0,0.5952380952380952,4.69,15.309999999999999,0.0,-inf,none,mouse
mouse07,mouse,a,mouse,45.0,586.4888888888889,19.0,-0.4666666666666667,2.0,0.26666666666666666,4.69,14.309999999999999,179.0,5.187385805840755,small,mouse
mouse07,mouse,b,keyboard,45.0,698.8444444444444,19.0,-0.37777777777777777,2.0,0.3111111111111111,3.0899999999999994,15.91,686.0,6.530877627725885,big,mouse
mouse07,mouse,c,mouse,41.0,690.2272727272727,19.0,-0.045454545454545456,4.0,0.4772727272727273,4.69,14.31,0.0,-inf,none,mouse
mouse08,mouse,a,mouse,41.0,577.1590909090909,18.0,-0.5,3.0,0.25,4.69,13.31,220.0,5.393627546352362,small,mouse
mouse08,mouse,b,keyboard,41.0,543.7333333333333,18.0,-0.5555555555555556,3.0,0.2222222222222222,3.0899999999999994,14.91,778.0,6.656726524178391,big,mouse
mouse08,mouse,c,mouse,45.0,592.5952380952381,18.0,-0.19047619047619047,2.0,0.40476190476190477,4.69,13.309999999999999,0.0,-inf,none,mouse
mouse09,mouse,a,mouse,43.0,544.9111111111112,17.0,-0.6444444444444445,1.0,0.17777777777777778,4.69,12.309999999999999,213.0,5.3612921657094255,small,mouse
mouse09,mouse,b,keyboard,43.0,543.2888888888889,17.0,-0.4222222222222222,1.0,0.28888888888888886,3.0899999999999994,13.91,844.0,6.738152494595957,big,mouse
mouse09,mouse,c,mouse,44.0,402.04651162790697,17.0,0.2558139534883721,2.0,0.627906976744186,4.69,12.309999999999999,0.0,-inf,none,mouse
mouse10,mouse,a,mouse,44.0,579.0,16.0,-0.28888888888888886,1.0,0.35555555555555557,4.69,11.309999999999999,226.0,5.420534999272286,small,mouse
mouse10,mouse,b,keyboard,44.0,571.3333333333334,16.0,-0.4666666666666667,1.0,0.26666666666666666,3.0899999999999994,12.91,1086.0,6.990256500493881,big,mouse
mouse10,mouse,c,mouse,43.0,508.3636363636364,16.0,0.045454545454545456,3.0,0.5227272727272727,4.69,11.309999999999999,0.0,-inf,none,mouse
mouse11,mouse,a,mouse,41.0,697.9318181818181,15.0,-0.6818181818181818,4.0,0.1590909090909091,4.69,10.309999999999999,253.0,5.53338948872752,small,mouse
mouse11,mouse,b,keyboard,41.0,523.0,15.0,-0.28888888888888886,4.0,0.35555555555555557,3.0899999999999994,11.91,1075.0,6.980075940561763,big,mouse
mouse11,mouse,c,mouse,43.0,576.6744186046511,15.0,0.06976744186046512,5.0,0.5348837209302325,4.69,10.309999999999999,0.0,-inf,none,mouse
